Building Name,Abbreviation,Site Location
Chase Hall,CHA,East Campus
Agricultural Hall,AGH,East Campus
C.Y. Thompson Library,CYT,East Campus
Miller Hall,MILH,East Campus
Biochemistry Hall,BCH,East Campus
Activities Building,AB,East Campus
Kiesselbach Crops Research Laboratory,KCR,East Campus
Agricultural Communications Building,ACB,East Campus
Leverton Hall,LEV,East Campus
Plant Science Teaching Greenhouse,PSTG,East Campus
Teaching Greenhouse West,TGW,East Campus
Teaching Greenhouse East,TGE,East Campus
"Utility Plant, East Campus",ECUP,East Campus
Family Resource Center,FRC,East Campus
Implement Outstate Storage Building,IMPS,East Campus
Insectary Building,INSB,East Campus
Keim Hall,KEIM,East Campus
Loeffel Meat Laboratory,LML,East Campus
Entomology Hall,ENTO,East Campus
Mussehl Hall,MUSH,East Campus
Animal Science Feed Storage,ANSF,East Campus
Poultry Building H & I,POHI,East Campus
Poultry Building F,POF,East Campus
Burr Hall,BRH,East Campus
Fedde Hall,FRH,East Campus
Love Memorial Hall,LRH,East Campus
Conservation & Survey Annex,CSA,East Campus
Service Building,SVC,East Campus
Larsen tractor Museum,LTM,East Campus
Forestry Hall,FORS,East Campus
Water Sciences Laboratory,WL,East Campus
Hardin Hall,HARH,East Campus
Forage Research laboratory - USDA,FORL,East Campus
Baker Hall,MBH,East Campus
College of Dentistry,DENT,East Campus
National Agroforestry Center - USDA,NAC,East Campus
Stewart Seed Laboratory,SSL,East Campus
Landscape Services Quonset,LSQ,East Campus
Textile Design Studio,TDS,East Campus
Staples Child Development Laboratory,CDL,East Campus
Warehouse 1,W1,East Campus
Terry M. Carpenter Telecommunications Center,TELC,East Campus
Warehouse 2,W2,East Campus
Varner Hall,VARH,"Sites in Lincoln, NE"
Home Economics Building,HECO,East Campus
McCollum Hall,LAW,East Campus
Nebraska East Union,NEU,East Campus
Barkley Memorial Center,BKC,East Campus
Veterinary Diagnostic Building,VDC,East Campus
Veterinary Medicine and Biomedical Sciences Hall,VBS,East Campus
Plant Sciences Hall,PLSH,East Campus
Agronomy & Horticulture Greenhouse 4,AHG4,East Campus
Orchard House,ORCH,East Campus
Behlen Metal Storage Building,BSTO,East Campus
Splinter Laboratories,SPL,East Campus
Sewage Sterilization Plant,SEW,East Campus
Agronomy & Horticulture Greenhouse 3,AHG3,East Campus
Plant Pathology Greenhouse,PPG,East Campus
National Agroforestry Center Storage Building - USDA,NAST,East Campus
Animal Science Complex,ANSC,East Campus
Welpton Courtroom Building,WELC,East Campus
Agronomy & Horticulture Outstate Testing Laboratory,AHTL,East Campus
Animal Science Loafing Sheds,LOAF,East Campus
Agronomy & Horticulture Physiology Building,AHPH,East Campus
USDA Physiology Building - USDA,USDP,East Campus
Landscape Services East Campus,LSEC,East Campus
Nebraska Statewide Arboretum Greenhouse,NSAG,East Campus
Perrin Porch,PER,East Campus
Agronomy & Horticulture/Forestry Shops,AHFS,East Campus
Library Depository Retrieval Facility,LDR,East Campus
Quilt Center,QSC,East Campus
Community Garden Shed,GRDN,East Campus
Morrison Center,MOLR,East Campus
Animal Science Storage Building,ASTO,East Campus
Campus Rec Equipment Building 5 - East Campus Rec Fields,ORB5,East Campus
Campus Rec Equipment Building 6 - East Campus Tennis Courts,ORB6,East Campus
Animal Science Hoop 1,ASH1,East Campus
Food Industry Complex,FOOD,East Campus
Filley Hall,FYH,East Campus
Colonial Terrace Apartment A-1,CTA1,East Campus
Colonial Terrace Apartment A-2,CTA2,East Campus
Colonial Terrace Apartment A-3,CTA3,East Campus
Colonial Terrace Apartment A-4,CTA4,East Campus
Colonial Terrace Apartment B,CTB,East Campus
Colonial Terrace Apartment C-1,CTC1,East Campus
Colonial Terrace Apartment C-2,CTC2,East Campus
Colonial Terrace Apartment C-3,CTC3,East Campus
Colonial Terrace Apartment C-4,CTC4,East Campus
Colonial Terrace Apartment D-1,CTD1,East Campus
Colonial Terrace Apartment D-2,CTD2,East Campus
Colonial Terrace Apartments Shop 1,CTS1,East Campus
Colonial Terrace Apartments Shop 2,CTS2,East Campus
University Park Apartments A,UPAA,East Campus
University Park Apartments B,UPAB,East Campus
University Park Apartments C,UPAC,East Campus
University Park Apartments D,UPAD,East Campus
Pershing Armory,PA,"Sites in Lincoln, NE"
Pershing Maintenance,PM,"Sites in Lincoln, NE"
Agronomy & Horticulture Greenhouse 1,AHG1,East Campus
Entomology Greenhouse 2,EGR2,East Campus
Entomology Greenhouse 3,EGR3,East Campus
Agronomy & Horticulture Greenhouse 2,AHG2,East Campus
Natural Resources Research Annex,NRRA,East Campus
Ashfall Visitor's Center,AA01,Ash Falls
Ashfall Rhino Barn,AA02,Ash Falls
Ashfall Storage Garage,AA03,Ash Falls
Ashfall Restroom Facility,AA04,Ash Falls
Hubbard Family Foundation Rhino Barn,AA05,Ash Falls
Ashfall Discovery Pavilion,AA06,Ash Falls
Ashfall Cabins,AA07,Ash Falls
Technology Park,B007,Leased "Sites in Lincoln, NE"
Restroom Facility,LTC,Campus Rec Ropes Course
Farm House,BB04,Campus Rec Ropes Course
Farm Utility Building,BB05,Campus Rec Ropes Course
Sapp Recreation Facility,CREC,City Campus
Canfield Administration Building South,ADMS,City Campus
Andrews Hall,ANDR,City Campus
Architecture Hall,ARCH,City Campus
Avery Hall,AVH,City Campus
Bessey Hall,BESY,City Campus
Brace Laboratory,BL,City Campus
Burnett Hall,BURN,City Campus
Coliseum,COL,City Campus
Love Library South,LLS,City Campus
Love Library North & Link,LLN,City Campus
Ferguson Hall,FERG,City Campus
