"1","ARCH","<p>Built in 1894 as a library, Architecture Hall is the oldest building on campus. The symbolic and sentimental home of architecture at UNL, Architecture Hall stands as a monument not only to an historic style of architecture, but also to the progress of a University and the thousands of students who ascended the famous wooden staircase into its design studios.</p> <p>Today, the College of Architecture is a busy and exciting place. The College's programs in architecture, interior design and community planning have a proud tradition of excellence in education, research, and service to the State of Nebraska and the nation.</p> <p>Some 700 students are enrolled in Architecture classes, learning with a faculty of 37 to explore the past, present, and future of our communities. From gallery displays and provocative seminars, to the quiet of the Architecture Library, the bustle of the design studio, and the excitement of a community town hall meeting, the College of Architecture is at work.</p>"
"2","BL","<p>Both physics and astronomy have been taught at UNL since the University first opened its doors to students in 1871. In the earliest years, classes consisted merely of recitations by students of material memorized from their textbooks; there were no lectures, discussions, or laboratories.</p><p>As the University grew, there began to be more specialization and under the enlightened leadership of some of the early chancellors several excellent scholars were added to the faculty. One of these was DeWitt Bristol Brace who came to Nebraska in 1887. His contributions to UNL and to the field of physics were numerous, and it is in his honor that Brace Hall, completed in December of 1905, was named.</p><p>For further information consult the book <em>Science on the Great Plains: The History of Physics and Astronomy at the University of Nebraska-Lincoln</em> by M. Eugene Rudd, published by the University of Nebraska in 1992.</p>"
"3","RH","<p>The Department of Art &amp; Art History is housed in two buildings, Nelle Cochrane Woods Hall and Richards Hall. Both are in the \"arts quadrangle,\" which is the southwest corner of city campus, generally the area of the original 4-block University of Nebraska campus.</p> <p>Richards Hall houses the department's gallery of art (the Eisentrager-Howard Gallery); painting, drawing, visual literacy, sculpture and ceramics classrooms; a 1500 square-foot papermaking studio; and faculty and student studios. A multimedia-equipped 200-seat auditorium and a 46-seat seminar room are located on the lower level.</p><p>The Eisentrager-Howard Gallery of the Department of Art &amp; Art History on the first floor is an integral part of the educational process at UNL, providing the department, general public and University community with opportunities to view, contemplate and interact with contemporary artwork from a variety of sources both at the national and international levels.</p><p>The department's gallery serves as an extension of the studio and classroom learning experience. The opportunity for students and the public to meet and discuss contemporary art issues with an artist who may be exhibiting in the gallery is an important aspect of the gallery programs. Regularly scheduled exhibitions include traditional thematic shows that complement the curriculum, as well as installations and site-specific works that introduce students to new genres. The gallery maintains a commitment to exhibiting artists who reside in the state of Nebraska focusing on those in Lincoln and Omaha.</p>"
"4","WAB","<p>Nelle Cochrane Woods Hall is one of two buildings housing the Department of Art &amp; Art History. The other is Richards Hall. Both are in the \"arts quadrangle,\" which is the southwest corner of city campus, generally on the footprint of the original 4-block University of Nebraska campus.</p><p>Woods Hall houses the department's slide collection, printmaking studios, book arts studio, graphic design computer lab, a general purpose computer lab, photography darkrooms, a visual literacy lab, and general purpose classrooms. The department slide library now numbers over 100,000 items.</p><p>The printmaking and book arts facilities occupy most of the top floor. The five large rooms feature full-length walls of windows, creating exceptionally well-lit and inviting workspaces. The shop includes separate rooms for etching, lithography, letterpress and book arts, with large work tables in each area. Work areas for the mediums of screen printing and relief are provided in a central work area, as well as in the large advanced/graduate print studio.</p>"
"5","FERG","<p>Ferguson hall is home to the Minnich Telescope, a beautiful 12-inch refracting telescope that makes it possible to see our sun close-up in the daytime and experience the beauty of the universe undiminished by the cold of the winter night.</p><p>The Minnich Telescope was dedicated on May 5, 1988.</p>"
"6","HAH","<p>Home to the Department of Chemistry, nine-story Hamilton Hall contains 220,000 square-feet, more than enough room for its 32 research groups and approximately 150 graduate students. Essentially all faculty offices, research laboratories, chemistry classrooms and undergraduate laboratories are located in this spacious building. The UNL Chemistry Library, with more than 49,000 volumes, is centrally located on the 4th floor. The Biological Sciences Library, with 78,000 volumes, is located in adjacent Manter Hall. The two libraries are joined by an enclosed walkway.</p><p>Most classrooms, the general chemistry resource room, and all undergraduate laboratories are located on the lower levels, while most research offices and laboratories are located on the upper levels. The High Hazard Laboratory, located on the 9th floor, was specially designed for research involving unstable materials.</p>"
"7","SHEL","<p>The Sheldon Memorial Art Gallery and Sculpture Garden houses over 12,000 works of art in all media. This comprehensive collection of American art includes prominent holdings of 19th-century landscape and still life, American Impressionism, early Modernism, geometric abstraction, Abstract Expressionism, pop, minimalism and contemporary art.</p><p>In the Sculpture Garden, 36 monumental sculptures are exhibited year-round and include major works by Gaston Lachaise, Elie Nadelman, Jacques Lipchitz, Claes Oldenburg and Coosje van Bruggen, David Smith, William Tucker, Bryan Hunt, Judith Shea, Mark di Suvero, Michael Heizer, and Richard Serra.</p><p>Sheldon's exhibition program comprises approximately 20 exhibitions per year and focuses on American art in all media. The curatorial staff organizes exhibitions drawn from the permanent collection, many of which have been circulated nationally. The program also includes exhibitions organized by peer institutions throughout the United States. Educational programs such as symposia, lectures and tours are organized in conjunction with each exhibition.</p>"
"8","CBA","<p>Completed in 1919 as UNL's Social Sciences Building, the College of Business Administration building houses the college of the same name  a comprehensive business school that contains the traditional departments of Economics, Finance, Management and Marketing; as well as the School of Accountancy, the Actuarial Science program, and the Bureau of Business Research. It is the academic home to over 3000 undergraduate and graduate students.</p><p>The recently renovated facility boasts a state of the art environment for business education. All classrooms are fully equipped with digital multimedia equipment and information technologies, as well as advanced teaching aids, such as in-class simulation. The building has wireless computing capabilities for students, faculty and staff. Several computer labs and computer classrooms complete the technological facilities, which include new computers, group and individual work areas and training.</p> "
"9","LLN","<p>The Don L. Love Memorial Library is the main library in the UNL library system. It is the largest library in Nebraska and the state's only comprehensive research library.</p><p>Love Library provides a comfortable, secure environment for individuals and groups to study and do research. A wireless network, as well as some standard wired ports, provides users with access to the Internet via personal laptop computers or those that can be checked out at the Circulation Desk.</p><p>The collections located in the Love Library North & Link building include all levels of the social sciences and humanities, including art, business, education, geography, history, journalism, language, literature, philosophy, political science, psychology, religion and sociology.</p><p>Library users have access to the IRIS Catalog, including a wide variety of databases and full-text resources, as well as general use computers. Individual study rooms are available for check out and the Reference desk, Integrated Computer Area, and workstations with access to a wide-range of CD-ROM databases are located in the Link area.</p><p>Among Love's many features you'll find:</p><ul><li>More than 2.2 million volumes</li><li>More than 12,700 active serials, both American and international</li><li>Current periodicals</li><li>Newspapers, primarily large metropolitan American and international</li><li>More than 2 million microform pieces.</li><li>A collection of videotapes</li></ul>"
"10","LLS","<p>The Don L. Love Memorial Library is the main library in the UNL library system. It is the largest library in Nebraska and the state's only comprehensive research library.</p><p>Love Library provides a comfortable, secure environment for individuals and groups to study and do research. A wireless network, as well as some standard wired ports, provides users with access to the Internet via personal laptop computers or those that can be checked out at the Circulation Desk.</p><p>Love South holds collections for all levels of the sciences, including biology, chemistry, physics and astronomy.  Also located in the Love South building are government documents, microforms, newspapers, current periodicals, videotapes and DVDs.</p><p>Individual study rooms, as well as a large reading room for quiet study, are available.</p><p>Among Love's many features you'll find:</p><ul><li>More than 2.2 million volumes</li><li>More than 12,700 active serials, both American and international</li><li>Stand-alone workstations with access to a wide-range of CD-ROM databases, from general reference sources to more specialized research tools</li><li>The Integrated Computer Area, an expanded student computer lab area, with word processing, e-mail and Internet access.</li></ul>"
